paquete,escenario,integracion,tc,sc,pm,total
Plantillas,Creacion plantilla con base en otras,Full ASP,12.5,6.0,5.0,23.5
Plantillas,Creacion plantilla con base en otras,Mixto,14.5,5.0,6.0,25.5
Plantillas,Creacion plantilla con base en otras,On Premise,15.5,5.0,6.0,26.5
Plantillas,Creacion plantilla desde cero,Full ASP,17.5,3.0,8.0,28.5
Plantillas,Creacion plantilla desde cero,Mixto,19.5,4.0,8.0,31.5
Plantillas,Creacion plantilla desde cero,On Premise,20.5,4.0,8.0,32.5
Plantillas,Modificacion plantilla 1 campo o logo,Full ASP,7.5,4.0,7.0,18.5
Plantillas,Modificacion plantilla 1 campo o logo,Mixto,9.0,4.0,7.0,20.0
Plantillas,Modificacion plantilla 1 campo o logo,On Premise,10.0,4.0,7.0,21.0
Reclamaciones,Reclamaciones eServer Sovos,Full ASP,3.0,7.0,3.5,13.5
Reclamaciones,Reclamaciones eServer Sovos,Mixto,3.0,6.0,4.5,13.5
Reclamaciones,Reclamaciones eServer Sovos,On Premise,7.0,6.0,4.5,17.5
Cesiones,Cesiones eServer Sovos,Full ASP,4.0,8.0,3.5,15.5
Cesiones,Cesiones eServer Sovos,Mixto,4.0,7.0,4.5,15.5
Cesiones,Cesiones eServer Sovos,On Premise,6.0,7.0,4.5,17.5
Printer,Printer por usuario,Estandar,3.0,4.0,3.5,10.5
Implem_Standard PPL,PPL DTE Emision y Recepcion estandar,Estandar,20.0,5.0,4.0,29.0
Implem_Standard PPL,PPL Boletas BO Emision y Recepcion estandar,Estandar,17.5,4.5,4.0,26.0
Migracion a Nube Sovos,Sin migracion de datos,Estandar,18.0,6.0,5.0,29.0
Coapi,Filtro Full,Estandar,40.0,40.0,30.0,110.0
Coapi,Plantillas Standar,Estandar,50.0,40.0,30.0,120.0
Coapi,Con Bloqueo emision DTE desde PPL y Habilitacion via Coapi,Estandar,62.0,50.0,38.0,150.0
Coapi,Filtro Full con Plantillas,Estandar,60.0,60.0,30.0,150.0
Implem_POS PPL_Resmax,Con Capacitacion,Estandar,42.0,12.0,4.0,58.0
Implem_POS PPL_Resmax,Sin Capacitacion,Estandar,48.0,12.0,4.0,64.0
Invoiceware,Implementacion RTC Estandar sin impresiones,Full ASP,22.0,3.0,4.0,29.0
Invoiceware,Desarrollos SAP agregar nuevo DTE,Full ASP,5.0,6.0,4.0,15.0
Acepta,Emision y Recepcion Portal (Basic),Estandar,20.0,12.0,8.0,40.0
Acepta,Emision x Integracion Recepcion Estandar,Estandar,55.0,35.0,20.0,110.0
Acepta,Emision Full Integracion Emision y Recepcion,Estandar,110.0,70.0,40.0,220.0
RES154 PPL,Caso Mixto Filtro Full 1-2 Ruts,Estandar,30.0,15.0,10.0,55.0
RES154 PPL,Caso Mixto Filtro Personalizado 1-2 Ruts,Estandar,45.0,25.0,17.5,87.5
RES154 PPL,Caso ASP Filtro Full+PDF 1-2 Ruts,Estandar,17.0,13.0,7.5,37.5
RES154 PPL,Caso ASP Filtro Personalizado 1-2 Ruts,Estandar,40.0,20.0,15.0,75.0
RES154 PPL,Addon TC 3-5 Ruts (Diseno+GoLive+Filtro),Estandar,13.0,0.0,0.0,13.0
RES154 PPL,Addon TC 6-10 Ruts (Diseno+GoLive+Filtro),Estandar,26.0,0.0,0.0,26.0
RES154 PPL,Addon TC 10+ Ruts (Diseno+GoLive+Filtro),Estandar,44.0,0.0,0.0,44.0
RES154 Acepta,Integracion Estandar http-spool,Estandar,12.0,8.0,0.0,20.0
RES154 Acepta,Integracion Personalizada http-spool-soap,Estandar,25.0,15.0,0.0,40.0
RES154 Acepta,Integracion Personalizada tipo bash,Estandar,30.0,12.0,3.0,45.0
RES154 Invoiceware,Ajuste template 52-33,Estandar,20.0,10.0,7.5,37.5
